#,ID,Species,Month,TotalLength,WetMass,Temp,Estimated.DM,N.ug.h,N.umol.h,TP.ug.h,TP.umol.h,N.P
1,CAMSPA 1-60,CAMSPA,March,66,2.19,18.9,0.50151,51.1572174,3.652339052,13.77853884,0.444899542,8.209356731
2,CAMSPA 2-60,CAMSPA,March,70,3.87,18.9,0.88623,NA,NA,165.989953,5.359701418,NA
3,CAMSPA 3-60,CAMSPA,March,50,1.2,18.9,0.2748,40.10208932,2.86306477,23.6936818,0.76505269,3.742310571
4,CAMSPA 4-60,CAMSPA,March,67,3.21,19,0.73509,63.04148119,4.500808983,57.89870256,1.869509286,2.40748148
5,CAMSPA 5-60,CAMSPA,March,56,1.48,19,0.33892,NA,NA,4.730379613,0.152740704,NA
6,CAMSPA 6-60,CAMSPA,March,58,1.85,19,0.42365,35.42512241,2.529155505,19.12566877,0.61755469,4.095435668
7,CAMSPA 7-60,CAMSPA,March,55,1.42,19,0.32518,NA,NA,2.625186793,0.084765476,NA
8,CAMSPA 8-60,CAMSPA,March,60,2.05,19,0.46945,47.82445701,3.41439861,25.70634044,0.830040052,4.113534764
9,ETHRAD 1-60,ETHRAD,March,55,1.54,19.3,0.35266,57.71259071,4.120356023,28.15191048,0.909005827,4.532815854
10,ETHRAD 3-60,ETHRAD,March,56,1.52,19.3,0.34808,NA,NA,194.8387617,6.291209614,NA
11,ETHRAD 4-60,ETHRAD,March,56,1.53,19.3,0.35037,45.41777647,3.242575087,26.03494115,0.840650344,3.857222104
12,ETHRAD 5-60,ETHRAD,March,58,1.29,19.3,0.29541,22.92698499,1.636858431,25.41124487,0.82051162,1.994924132
13,ETHRAD 6-60,ETHRAD,March,46,0.77,19.3,0.17633,22.88718438,1.634016891,12.84796655,0.414852003,3.938794751
14,ETHRAD 7-60,ETHRAD,March,51,0.95,19.3,0.21755,NA,NA,33.49450663,1.081514583,NA
15,ETHRAD 8-60,ETHRAD,March,46,0.75,19.3,0.17175,27.83480243,1.987249133,9.630864685,0.310973997,6.390402899
16,LEPMEG 1-60,LEPMEG,March,74,5.66,19.5,1.29614,128.1932727,9.152282316,22.63811597,0.730969196,12.52074967
17,LEPMEG 2-60,LEPMEG,March,77,6.77,19.5,1.55033,148.7078848,10.61691082,68.21778906,2.202705492,4.819941141
18,LEPMEG 3-60,LEPMEG,March,66,4.02,19.5,0.92058,79.58724738,5.682084101,82.11921138,2.651572856,2.142910796
19,LEPMEG 4-60,LEPMEG,March,64,4.02,19.5,0.92058,107.3038214,7.660892389,91.75244146,2.962623231,2.585847673
20,LEPMEG 5-60,LEPMEG,March,68,4.43,19.7,1.01447,48.40621519,3.455932888,24.54491158,0.792538314,4.360587781
21,LEPMEG 6-60,LEPMEG,March,74,5.46,19.7,1.25034,NA,NA,7.004315141,0.226164518,NA
22,LEPMEG 7-60,LEPMEG,March,74,6.02,19.7,1.37858,54.02249083,3.856903542,35.12774624,1.134250766,3.400397564
23,LEPMEG 8-60,LEPMEG,March,68,4.41,19.7,1.00989,NA,NA,21.42138223,0.691681699,NA
24,NOTBOO 1-60,NOTBOO,March,63,1.87,18.3,0.42823,57.40376992,4.098307947,43.55474251,1.40635268,2.914139536
25,NOTBOO 2-60,NOTBOO,March,57,1.43,18.3,0.32747,34.84445928,2.487699406,26.60066362,0.858917134,2.896320621
26,NOTBOO 3-60,NOTBOO,March,58,1.31,18.3,0.29999,37.74346238,2.694672005,61.99330197,2.001721085,1.34617756
27,NOTBOO 4-60,NOTBOO,March,54,1.4,18.3,0.3206,NA,NA,56.90066858,1.837283455,NA
28,NOTBOO 5-60,NOTBOO,March,56,1.3,18.3,0.2977,26.54625059,1.895253742,27.01214438,0.872203565,2.17294886
29,NOTBOO 6-60,NOTBOO,March,60,1.65,18.3,0.37785,24.90662933,1.778193959,32.48701399,1.048983338,1.695159393
30,NOTBOO 7-60,NOTBOO,March,59,1.4,18.4,0.3206,27.07740948,1.933175515,28.9717653,0.935478376,2.066510103
31,NOTBOO 8-60,NOTBOO,March,72,3,18.4,0.687,46.94998705,3.351966348,46.17093348,1.490827687,2.248392874
32,CAMSPA 1-60,CAMSPA,August,56,1.818,31.5,0.416322,48.27236866,3.446376995,88.00681368,2.841679486,1.212795817
33,CAMSPA 2-60,CAMSPA,August,46,0.7932,31.5,0.1816428,72.56636815,5.180832613,28.68464259,0.926207382,5.593598923
34,CAMSPA 3-60,CAMSPA,August,71,3.33,31.5,0.76257,88.02626022,6.284582394,68.48964245,2.211483449,2.841794903
35,CAMSPA 4-60,CAMSPA,August,53,1.116,31.5,0.255564,66.70511449,4.7623719,8.144647377,0.262985062,18.10890651
36,CAMSPA 5-60,CAMSPA,August,44,0.762,31.5,0.174498,22.30444403,1.59241249,38.35240482,1.238372775,1.285891068
37,CAMSPA 6-60,CAMSPA,August,52,1.19,32.1,0.27251,84.14190547,6.007261202,48.75998137,1.574426263,3.815524005
38,CAMSPA 7-60,CAMSPA,August,54,1.116,32.1,0.255564,100.681293,7.188080916,1.918491393,0.061946768,116.0364163
39,CAMSPA 8-60,CAMSPA,August,44,0.606,32.1,0.138774,41.91766674,2.992686839,19.98060303,0.64515993,4.638674384
40,ETHRAD 1-60,ETHRAD,August,55,1.7775,32.4,0.4070475,53.39842985,3.81234908,6.504093541,0.210012707,18.15294481
41,ETHRAD 2-60,ETHRAD,August,51,1.3594,32.4,0.3113026,41.03089117,2.929376025,9.044097234,0.292027679,10.03115881
42,ETHRAD 3-60,ETHRAD,August,38,0.5186,32.4,0.1187594,17.30149659,1.235230039,7.066459996,0.228171134,5.413612223
43,ETHRAD 4-60,ETHRAD,August,57,1.8407,32.4,0.4215203,53.27176761,3.803306104,12.04858448,0.389040507,9.776118515
44,ETHRAD 5-60,ETHRAD,August,63,2.1,32.4,0.4809,40.60692231,2.899107021,14.28530979,0.461262828,6.285152074
45,ETHRAD 6-60,ETHRAD,August,46,0.9571,32.4,0.2191759,27.5305902,1.965530082,2.44653781,0.078997024,24.88106493
46,ETHRAD 7-60,ETHRAD,August,51,1.2524,32.4,0.2867996,34.37423193,2.454127806,20.37319115,0.657836331,3.730605457
47,ETHRAD 8-60,ETHRAD,August,49,1.1723,32.4,0.2684567,24.79748788,1.770401871,7.897109748,0.254992242,6.942963658
48,LEPMEG 1-60,LEPMEG,August,80,8.4378,29.7,1.9322562,105.2625951,7.515160251,61.19862837,1.97606162,3.803100154
49,LEPMEG 2-60,LEPMEG,August,76,6.9974,29.7,1.6024046,221.5563312,15.81788224,62.89740013,2.030913792,7.788554249
50,LEPMEG 3-60,LEPMEG,August,64,3.7946,29.7,0.8689634,75.07212426,5.359729577,11.92440971,0.385030989,13.92025508
51,LEPMEG 4-60,LEPMEG,August,77,7.0979,29.7,1.6254191,78.82640238,5.627764026,18.41337959,0.594555363,9.465500393
52,LEPMEG 5-60,LEPMEG,August,59,2.9894,29.8,0.6845726,112.0643777,8.00076947,8.071608232,0.260626679,30.6981983
53,LEPMEG 6-60,LEPMEG,August,67,4.2532,29.8,0.9739828,151.8289166,10.83973503,23.11997177,0.746527987,14.52019913
54,LEPMEG 7-60,LEPMEG,August,64,5.9811,29.8,1.3696719,79.72897817,5.692202886,25.34074849,0.818235341,6.956681778
55,LEPMEG 8-60,LEPMEG,August,64,3.8788,29.9,0.8882452,113.6868111,8.116602133,39.64387892,1.280073585,6.340730901
56,NOTBOO 1-60,NOTBOO,August,53,1.04,29.7,0.23816,32.19041052,2.298215177,18.64603221,0.602067556,3.817204818
57,NOTBOO 2-60,NOTBOO,August,75,3.0378,29.7,0.6956562,92.26567975,6.587253225,108.6932897,3.50963157,1.876907331
58,NOTBOO 3-60,NOTBOO,August,64,1.8554,29.7,0.4248866,61.10632273,4.362649499,72.18681723,2.330862682,1.871688767
59,NOTBOO 4-60,NOTBOO,August,54,1.0581,29.7,0.2423049,37.85452328,2.702601132,23.8939687,0.771519815,3.50295751
60,NOTBOO 5-60,NOTBOO,August,52,1.017,29.7,0.232893,33.33023623,2.379592354,4.840688056,0.156302489,15.22427681
61,NOTBOO 6-60,NOTBOO,August,72,2.706,29.7,0.619674,57.82797835,4.128594055,28.31155948,0.914160785,4.516266859
62,NOTBOO 7-60,NOTBOO,August,54,1.0688,29.7,0.2447552,54.46404573,3.88842809,37.99530732,1.226842342,3.169460293
63,NOTBOO 8-60,NOTBOO,August,54,1.139,29.7,0.260831,46.51306211,3.320772352,34.0983429,1.101012041,3.016109024
64,CAMSPA 1-60,CAMSPA,October,50,0.8,21.7,0.1832,49.24781016,3.51601806,6.607547496,0.213353165,16.47980269
65,CAMSPA 2-60,CAMSPA,October,61,1.9,21.7,0.4351,82.77886328,5.909947616,19.67501944,0.635292846,9.302713935
66,CAMSPA 3-60,CAMSPA,October,62,1.8,21.7,0.4122,73.79114768,5.268275017,12.97345478,0.418903932,12.57633221
67,CAMSPA 4-60,CAMSPA,October,61,1.7,21.7,0.3893,54.06320176,3.859810074,13.79840423,0.445540983,8.663198719
68,CAMSPA 5-60,CAMSPA,October,47,0.7,22.2,0.1603,16.72833302,1.194309368,3.627380246,0.117125614,10.19682481
69,CAMSPA 6-60,CAMSPA,October,66,2.3,22.2,0.5267,104.7142841,7.476013916,12.96638905,0.418675785,17.85633226
70,CAMSPA 7-60,CAMSPA,October,66,2.1,22.2,0.4809,103.6293303,7.398554281,10.74315223,0.346888997,21.32830485
71,CAMSPA 8-60,CAMSPA,October,55,1.3,22.2,0.2977,47.45342276,3.387908841,6.495936661,0.209749327,16.15217981
72,ETHRAD 1-60,ETHRAD,October,56,1.5,22.6,0.3435,41.77031586,2.98216681,NA,NA,NA
73,ETHRAD 2-60,ETHRAD,October,49,0.9,22.6,0.2061,25.43284142,1.815762558,1.168983759,0.037745682,48.10517327
74,ETHRAD 3-60,ETHRAD,October,52,1.2,22.6,0.2748,32.94820944,2.352317779,NA,NA,NA
75,ETHRAD 4-60,ETHRAD,October,42,0.5,22.6,0.1145,13.17987119,0.94096905,1.452020134,0.046884731,20.06984001
76,ETHRAD 5-60,ETHRAD,October,40,0.5,22.6,0.1145,24.5637296,1.753712837,4.414403646,0.142538058,12.30347084
77,ETHRAD 6-60,ETHRAD,October,65,1.6,22.6,0.3664,39.76425633,2.838945385,NA,NA,NA
78,ETHRAD 7-60,ETHRAD,October,49,0.9,22.9,0.2061,27.8218485,1.986324295,NA,NA,NA
79,ETHRAD 8-60,ETHRAD,October,42,0.5,22.9,0.1145,19.92208125,1.422325119,NA,NA,NA
80,LEPMEG 1-60,LEPMEG,October,72,5.3,20,1.2137,127.7053825,9.117449683,15.68093408,0.506326577,18.00705333
81,LEPMEG 2-60,LEPMEG,October,80,8.24,20,1.88696,NA,NA,10.85975505,0.350654021,NA
82,LEPMEG 3-60,LEPMEG,October,62,3.5,20,0.8015,86.64223145,6.185770485,8.238532754,0.266016556,23.25332893
83,LEPMEG 4-60,LEPMEG,October,68,4.9,20,1.1221,91.31291119,6.519230882,1.998175514,0.064519713,101.0424661
84,LEPMEG 5-60,LEPMEG,October,70,4.4,20,1.0076,125.2388392,8.941352297,4.388967534,0.141716744,63.09312553
85,LEPMEG 6-60,LEPMEG,October,70,4.9,20,1.1221,170.5454751,12.17599257,3.77278913,0.121820766,99.95005737
86,LEPMEG 7-60,LEPMEG,October,71,4.9,20,1.1221,101.7911055,7.267315323,3.997792754,0.129085979,56.29825475
87,LEPMEG 8-60,LEPMEG,October,69,4.7,20,1.0763,124.2876354,8.873441664,18.08237954,0.583867599,15.19769497
88,ETHRAD 2,ETHRAD,March,54,1.6,19.9,0.3664,39.24083191,2.801575811,17.00164727,0.548971497,5.103317432
89,ETHRAD 3,ETHRAD,March,51,1.04,19.9,0.23816,27.37590614,1.954486506,8.91748103,0.28793933,6.787841414
90,ETHRAD 5,ETHRAD,March,52,1.21,21.4,0.27709,18.94911028,1.352860436,15.36428007,0.496102037,2.72698021
91,ETHRAD 6,ETHRAD,March,58,1.27,21.4,0.29083,29.6347127,2.115752654,16.61658087,0.536537968,3.94334191
92,ETHRAD 7,ETHRAD,March,59,1.35,21.4,0.30915,26.22798564,1.872531406,9.013475323,0.29103892,6.433955321
93,ETHRAD 9,ETHRAD,March,51,1.18,21.4,0.27022,50.27244549,3.589171288,16.34051928,0.52762413,6.80251544
94,ETHRAD 12,ETHRAD,March,46,0.67,22.2,0.15343,27.93237643,1.994215371,8.122166807,0.26225918,7.603986899
95,ETHRAD 13,ETHRAD,March,40,0.52,22.2,0.11908,28.57759056,2.040280049,7.129470254,0.230205692,8.862856671
96,ETHRAD 17,ETHRAD,March,44,0.73,19.5,0.16717,29.68503657,2.119345497,7.149360476,0.230847932,9.180699498
97,ETHRAD 18,ETHRAD,March,61,2.12,19.5,0.48548,52.28998276,3.73321216,13.77610936,0.444821097,8.392614882
98,ETHRAD 21,ETHRAD,March,56,1.24,19.5,0.28396,50.36613105,3.595859913,11.01767616,0.355753186,10.10773777
99,ETHRAD 22,ETHRAD,March,41,0.5,19.5,0.1145,18.97874675,1.354976315,6.364203179,0.205495744,6.59369528
100,ETHRAD 23,ETHRAD,March,43,0.7,19.5,0.1603,48.12135149,3.435595214,10.5264347,0.339891337,10.10792228
101,ETHRAD 25,ETHRAD,March,43,0.78,19.5,0.17862,29.61117942,2.114072509,7.104038342,0.229384513,9.21628267
102,ETHRAD 26,ETHRAD,March,55,1.48,19.5,0.33892,31.0312071,2.21545454,9.108196183,0.29409739,7.533064265
103,LEPMEG 2,LEPMEG,March,61,5,18.9,1.145,143.3034529,10.23106463,30.34290356,0.979751487,10.44250992
104,LEPMEG 3,LEPMEG,March,69,5.6,19,1.2824,143.7149952,10.26044644,39.12863492,1.26343671,8.121060881
105,LEPMEG 5,LEPMEG,March,65,4.2,19.5,0.9618,63.58548377,4.539647724,24.8923697,0.803757497,5.648031577
106,LEPMEG 6,LEPMEG,March,57,3.1,19.5,0.7099,73.51467619,5.248536499,21.30817332,0.688026262,7.628395585
107,LEPMEG 7,LEPMEG,March,67,4.3,19.5,0.9847,110.6485235,7.899685404,64.97655056,2.09804813,3.765254616
108,LEPMEG 8,LEPMEG,March,70,4.2,19.5,0.9618,110.2191914,7.86903349,34.13119644,1.102072859,7.14021167
109,LEPMEG 11,LEPMEG,March,66,3.1,19.7,0.7099,43.17573098,3.082505585,16.56033487,0.534721824,5.764690063
110,LEPMEG 12,LEPMEG,March,66,4.6,19.7,1.0534,62.98833822,4.497014873,16.14725375,0.521383718,8.625154018
111,CAMSPA 1,CAMSPA,March,62,2,21.9,0.458,82.05838208,5.85850929,6.891434138,0.222519669,26.32805143
112,CAMSPA 2,CAMSPA,March,54,1.5,21.9,0.3435,62.60275774,4.469486584,6.592142413,0.212855745,20.99772587
113,CAMSPA 3,CAMSPA,March,49,1,21.9,0.229,69.88687038,4.989531466,8.765400238,0.283028745,17.62906261
114,CAMSPA 5,CAMSPA,March,54,1.6,21.9,0.3664,55.86627185,3.988539188,15.09039883,0.4872586,8.185672224
115,CAMSPA 6,CAMSPA,March,56,1.6,21.9,0.3664,48.54085728,3.465545581,3.817139023,0.123252794,28.1173794
116,CAMSPA 7,CAMSPA,March,60,2.4,21.9,0.5496,64.74213453,4.622226115,4.752051646,0.153440479,30.12390309
117,CAMSPA 8,CAMSPA,March,69,3.1,21.9,0.7099,81.7613068,5.837299778,12.08122406,0.390094415,14.96381272
118,CAMSPA 9,CAMSPA,March,58,2,21.9,0.458,82.02295118,5.855979723,10.00870445,0.323174183,18.12019657
119,CAMSPA 16,CAMSPA,March,65,2.9,21.9,0.6641,159.4307546,11.38246372,33.00811023,1.065809177,10.67964506
120,NOTBOO 1,NOTBOO,March,68,3.1,18.3,0.7099,121.9262696,8.704853365,29.16552794,0.941734838,9.243422897
121,NOTBOO 2,NOTBOO,March,64,2.4,18.3,0.5496,86.86846058,6.201921979,25.36184052,0.818916387,7.573327479
122,NOTBOO 3,NOTBOO,March,44,0.8,18.3,0.1832,25.85517725,1.845914973,8.742556639,0.282291141,6.539046771
123,NOTBOO 5,NOTBOO,March,45,0.6,18.3,0.1374,25.34280868,1.809334724,13.95974463,0.450750554,4.014048812
124,NOTBOO 6,NOTBOO,March,49,0.8,18.4,0.1832,27.65846629,1.97465972,9.386746666,0.303091594,6.515059331
125,NOTBOO 7,NOTBOO,March,52,1,18.4,0.229,25.84147677,1.844936835,12.10127078,0.390741711,4.721627566
126,NOTBOO 8,NOTBOO,March,57,1.8,18.4,0.4122,82.7142482,5.905334461,21.53040661,0.695202021,8.494414978
127,NOTBOO 9,NOTBOO,March,51,1,18.4,0.229,75.38457963,5.382037141,11.34148749,0.366208831,14.69663396
128,NOTBOO 11,NOTBOO,March,43,0.7,18.4,0.1603,23.37109725,1.668565561,7.875967346,0.254309569,6.561159171
